Shop Name,Contact,Address,State,City,GST
Maahira Unisex Salon (Delhi),919891105102,Jaipur,Delhi,Delhi,
Aradhna Makeover (Lucknow),919890813552,Bda coMadhya Pradeshlex Bhanashankari,Uttar Pradesh,Lucknow,
Madonna Unisex Salon (Modinagar),919890376247,Hill card Road,Uttar Pradesh,Modinagar,
Amritas Salon (Nagpur),919890082362,Opp petrol puMadhya Pradesh green field majitha road,Maharashtra,Nagpur,
Mirror And Mirror Unisex Salon (Silchar),919889775641,"Mahavir Enclave, Delhi (West)",Assam,Silchar,
Apex Spa Salon (Noida),919889030287,Kamla nagar  gol chakkar,Uttar Pradesh,Noida,
Hair Studeo (IslaMadhya Pradeshur),919888974738,Zingabai takli,West Bengal,IslaMadhya Pradeshur,
Cutting Edge (BUTibori),919888881235,Purani Basti road Basti,Maharashtra,BUTibori,
Cut@ Beyond (Raipur),919888804385,Godni,Chhattisgarh,Raipur,
Darpan Unisex Salon (Ambikapur),919888619980,Sb enclave majitha road,Chhattisgarh,Ambikapur,
Aradhya Makeover (MeerUT),919888601797,New chandigarh,Uttar Pradesh,MeerUT,
Harpreet Beauty Parlour (Ludhiana),919888566530,"B- 1304, Block A, New Ashok Nagar, Delhi, 110096",Punjab,Ludhiana,
Hd Create Unisex Salon (Bangalore),919888234558,Muslim street. SrivillipUThur,Karnataka,Bangalore,
Nakshathra (Chandigarh),919888211599,Karmik nagar,UT,Chandigarh,
Kavi Makeover (Chandigarh),919888202833,Shivagi road MeerUT,UT,Chandigarh,
Archana Make Over (Nagpur),919888154467,Devendranagar,Maharashtra,Nagpur,
Grace N Blonde Unisex Salon (MeerUT),919888123313,Gandhi colony,Uttar Pradesh,MeerUT,
Hair Studio Salon (Guwahati),919888066199,"2/97, Azadgarh, Tollygunge, Kolkata, West Bengal 700040",Assam,Guwahati,
A K Glam Salon (Noida),919888022793,Race course,Uttar Pradesh,Noida,
Choice Salon (Delhi),919888007208,Sarjapura kasavanahalli,Delhi,Delhi,
Dignity Beauty Parlour (Jaunpur),919886925021,Sec 22,Uttar Pradesh,Jaunpur,
Earth Salon (Achaljamu),919886774826,Circuite house road kanhaiya bikaner road.,Jharkhand,Achaljamu,
Elan Salon (Agra),919886542221,Varje,Uttar Pradesh,Agra,
Kanika Makeover (Delhi),919886191334,Friends colony katol road,Delhi,Delhi,
New Look Ladies Salon (Noida),919886168989,Bagga purana,Uttar Pradesh,Noida,
Golden Sessior (Bangalore),919886064593,Rani durgawati chowk,Karnataka,Bangalore,
Jk Hair Looks Salon (MeerUT),919886019870,"Jagdalpur,kothari market",Uttar Pradesh,MeerUT,
Verma Salon (Noida),919883426672,Padmanabha Nagar,Uttar Pradesh,Noida,
Archana Beauty Hub (Nagpur),919881553414,Gokulam,Maharashtra,Nagpur,
Alkemie Family Salon (Panchkula),919881412353,Malda Santosh pur,Haryana,Panchkula,
Craze (MeerUT),919880625471,Julakbari,Uttar Pradesh,MeerUT,
Jawed Habib Axis Mall (MeerUT),919879797980,"Shoprix Mall, Block C, Sector 61, Noida Delhi, Sector 61,",Uttar Pradesh,MeerUT,
Headlines Pro Salon (Amritsar),919878861528,Airport road near petrol puMadhya Pradesh,Punjab,Amritsar,
Kashish Beauty Care (Delhi),919878629203,"H.no: 941, Sector 21C",Delhi,Delhi,
Arti Beauty Zone (Jodhpur),919878576044,Western road sadar,Rajasthan,Jodhpur,
Be Beautiful Beauty Studio And Academy (MeerUT),919878429970,Rajpur road Dehradun,Uttar Pradesh,MeerUT,
Mahimas (Muzaffarnagar),919878383430,Vasai,Uttar Pradesh,Muzaffarnagar,
Nikita Makeover (Lucknow),919878269370,Bhurfor mandir govindpur road,Uttar Pradesh,Lucknow,
New Bridal Zone (Ferozepore),919878113822,"General Mahadev Singh (GMS) Road , Dehradun (Uttarakhand)",Punjab,Ferozepore,
Magic Makeover (Moga),919878099870,"Nana Mava Main Road, Rajkot (GJ)",Punjab,Moga,
Beauty World Parlour (Siliguri),919878090890,Kathitand,West bengal,Siliguri,
Radhey Beauty Parlor (Nagpur),919878071833,"370 orchid towers alagesan road, saibabacolony coimbatore 641011",Maharashtra,Nagpur,
Hair Tunner (Noida),919877601112,Khalilabad main market khalilabad,Uttar Pradesh,Noida,
Glory Beauty Parlour (Jodhpur),919877031723,Booty more chowk,Rajasthan,Jodhpur,
Rekhaz Salon (Kharar),919876464387,Bavdhan,Punjab,Kharar,
He&She Salon Talwandi Sabo (Abu),919876056582,Pratapganj para,Rajasthan,Abu,
Goddess Beauty Parlour (Chandigarh),919876016806,Nagwa Lanka,UT,Chandigarh,
Goat Salon (Rajkot),919876016805,Mahendra nagar,Gujrat,Rajkot,
Rekhaz (Kharar),919874664387,Gumanpura kota,Punjab,Kharar,
Aroma Saloon (Raipur),919873905766,"SUttar PradeshERTECH ECO VILLAGE-1, 21 Uttar Pradeshper Ground Floor, SUttar Pradeshertech Mart, Bisrakh Jalalpur, Greater Noida West",Chhattisgarh,Raipur,
Hair Do Unisex Salon (Nagpur),919873898066,Mahanagar,Maharashtra,Nagpur,
Nabi Unisex Salon (Ghaziabad),919873383023,"4th Chowk, Abohar, Punjab.",Uttar Pradesh,Ghaziabad,
Beauty & Joy (Jodhpur),919873164626,Near hasli pul,Rajasthan,Jodhpur,
( Quinoz  Salon ) MUttarakhandtsar (Kannapuram),919873060737,Beas,Kerala,Kannapuram,
Sapna Salon (Ludhiana),919872994203,"Mani bazar, Firozpur",Punjab,Ludhiana,
Kumud Beauty Saloon & Academy (Gurdaspur),919872934346,Baga purana,Punjab,Gurdaspur,
Pooja Make Over (Azamgarh Road),919872919764,Talwandi gate raikot,Uttar Pradesh,Azamgarh Road,
Shine Row Beauty Parlour (Diglipur),919872813001,"Near medical College, Faridkot",Andaman and Nicobar Islands,Diglipur,
Hair Trends Salon (Jamshedpur),919872117014,Aliganj puraniya,Jharkhand,Jamshedpur,
Dulhan Beauty Point (Raipur),919871811506,Iskcon road near Bank of india,Chhattisgarh,Raipur,
Studeo One Salon (Payyannur),919871543024,Azamgarh,Kerala,Payyannur,
Blossom Bright Salon (Raipur),919871317943,"Akta inqlab  1st floor above PNB Bank 
Buradi ",Chhattisgarh,Raipur,
Hair Expert Salon (Nagpur),919871225597,"Shop No. 10, above Airtel Store, J Block, Sector 25, Jal Vayu Vihar, Noida, Uttar Pradesh 201301",Maharashtra,Nagpur,
Chand Unisex Salon (Saharanpur),919870887717,"Near Footmaidan, Bagunhatu",Uttar Pradesh,Saharanpur,
Natural Salon (Bhopal),919868685479,Godhni Road Takli,Madhya Pradesh,Bhopal,
(New Grace Salon Firozpur Cantt ) (Moga),919860883953,Railway station markit,Punjab,Moga,
Apurva Beauty Parlour (Raipur),919860883953,Arjun nagar,Chhattisgarh,Raipur,
Hair And Beauty Unisex Salon (Kolkata),919860396592,Paravur,West Bengal,Kolkata,
Makeover By Preeti Daswani Unisex Salon (Abhayapuri),919859406282,Banaragatta,Assam,Abhayapuri,
Choice Unisex Salon (Raipur),919859070086,White House bhudatalab,Chhattisgarh,Raipur,
A Touch Og Class Salon (Zira),919858726543,Sec 34,Punjab,Zira,
Choice Parlour (Kanpur),919858070086,Ks layoUT,Uttar Pradesh,Kanpur,
Black & Beyond Salon (Lucknow),919855877993,Model Town jalandhar,Uttar Pradesh,Lucknow,
D Cube Uniseex Salon (moradabad),919855856409,J-3/197 Nehru market Rajouri garden,Uttar Pradesh,moradabad,
Fabulous (Batala),919855772557,"Hall, 1/16, Netaji Subhash Chandra Bose Rd, near Malancha Cinema, Regent Colony, Tollygunge, Kolkata, West Bengal 700040",Punjab,Batala,
Muskan Beauty Parlour (Jagdalpur),919855630575,Zindagi takli,Chhattisgarh,Jagdalpur,
Blond Studio Salon (Lucknow),919855245646,Opp fish park,Uttar Pradesh,Lucknow,
Gleam Makeover Beauty Salon (FARIDKOT),919855154274,Lal devi mandir rani ka bagh,Punjab,FARIDKOT,
Magic Touch 47 Salon Zira Harpreet Mam (MeerUT),919855083607,Devkali yashlok hospital,Uttar Pradesh,MeerUT,
Make Over Studio (Noida),919851954508,"Karmchari Nagar, Ghatlodia , Ahamdabad",Uttar Pradesh,Noida,
Krishna Beauty (Kannur),919850300540,KumarSwami layoUT,Kerala,Kannur,
Arti Cure Salon (Bangalore),919847691245,Sultanwind road,Karnataka,Bangalore,
Irfan Family Salon (Bundi),919847589097,Rajeevnagar,Rajasthan,Bundi,
Amrapali Beauty Parlour (MeerUT),919847488383,Model gram Pakhowal Road,Uttar Pradesh,MeerUT,
Kusumkali Beauty Parlour (Noida),919847476476,Raibareli DM residence,Uttar Pradesh,Noida,
Bright Salon (Bangalore),919847362252,Dadar West,Karnataka,Bangalore,
Butter Beauty Salon (Gurdaspur),919846846878,Chinhat,Punjab,Gurdaspur,
Scissor And Rezor Hair Studio (Kalpetta),919846710282,"Partap road, Moga",Kerala,Kalpetta,
Touch &Glow (Faridkot),919846405831,J block shopping coMadhya Pradeshlex saket,Punjab,Faridkot,
Mac (Noida),919845970521,MeerUT arvind puri,Uttar Pradesh,Noida,
Lakhveer Bs (Jamshedpur),919845700442,Mirabai marg,Jharkhand,Jamshedpur,
Chocolate Salon (Bangalore),919845557570,IT chouraha,Karnataka,Bangalore,
Anus (Noida),919845273772,Saoner,Uttar Pradesh,Noida,
Bhangi (Thrikaripur),919845191355,"S12, Green Park Main, Block S, Green Park Extension, Market, New Delhi, Delhi 110016",Kerala,Thrikaripur,
My Fair (Dhanbad),919845177117,Rajeev Gandhi nagar City mall kota,Jharkhand,Dhanbad,
Gleam Studio Unisex Salon (FARIDKOT),919844121444,"Vijay Garden Gate No.3, Moharda, Baridih",Punjab,FARIDKOT,
Laxmi Parlour (Muzaffarnagar),919843443346,Kanker khera,Uttar Pradesh,Muzaffarnagar,
Mk Makeover Unisex Salon (Muzaffarnagar),919842725413,Sidwabet,Uttar Pradesh,Muzaffarnagar,
RenUttarakhanda Sales (Ludhiana),919839773838,"Near bus stand, kotkapura",Punjab,Ludhiana,
Clipsow Salon (Mumbai),919838841020,"Shoprix Mall, Sec 61 ,Noida",Maharashtra,Mumbai,
Keratin Unisex Salon (Amritsar),919838667212,Buraburitala malda,Punjab,Amritsar,
Anjali Rawat Salon (Jodhpur),919838474881,Sec 47,Rajasthan,Jodhpur,
Muskan Make Over (Coimbatore),919838196424,"Main bazar, Firozpur",Tamil Nadu,Coimbatore,
Monalisa Beauty Parlor (Raipur),919837801731,Kanyakulangara,Chhattisgarh,Raipur,
Leela The House (Amritsar),919837658181,"RaMadhya Pradeshur Naya Goan, near green City Gorakhnath",Punjab,Amritsar,
Rajni Beauty Parlour (Mysore),919837584980,Kharangajhar Market,Karnataka,Mysore,
New Look Makeover (New Delhi),919837224696,"Burari, Delhi ( North )",Delhi,New Delhi,
Jyoti Hair Style  Salon (Nagpur),919837030456,"25,G,T ROAD KONNAGAR",Maharashtra,Nagpur,
M S Vip (Kharar),919835728681,mda,Punjab,Kharar,
M1 Unisex Salon (Bangalore),919835465949,"B-123, GF, Block B, Dayanand Colony, Lajpat Nagar, IV, New Delhi, Delhi 110024",Karnataka,Bangalore,
Embellished Beauty Salon (Modinagar),919834839242,Pratapnagar,Uttar Pradesh,Modinagar,
Aarti Beauty Parlour (Firozepur),919834231212,Ashok Nagar colony Sigra,Punjab,Firozepur,
Chavi Makeuttar Pradesh Studio (Kapurthala),919834079115,"ASHUTOSH APARTMENT, 316, Model Town Rd, Madhya, Baliya, Garia, Kolkata, Rajpur Sonarpur, West Bengal 700084",Punjab,Kapurthala,
Amrin'S Beauty Magic Salon & Academy (Chandigarh),919833462095,"Sec 50, Amrapali Eden Apartment",UT,Chandigarh,
Glam Uttar Pradesh Makeover (Chandigarh),919830512760,AMadhya Pradeshhalla,Punjab,Chandigarh,
Mehak Beauty Salon Bathinda (Chandigarh),919830203771,Sion,Punjab,Chandigarh,
Janta Unisex (Raipur),919830074173,KDK college Nandanvan,Chhattisgarh,Raipur,
Makeuttar Pradesh Areana (Raipur),919829699099,"Pillar  no 1172 modinagar, meerUT",Chhattisgarh,Raipur,
Asha Beauty Parlour (Achaljamu),919829603538,Khargapur,Jharkhand,Achaljamu,
Apeksha Salon (Rajkot),919829021077,Ambikapatty,Gujrat,Rajkot,
Dwarika (Jodhpur),919827614937,Latma,Rajasthan,Jodhpur,
Eleve Salon (Coimbatore),919826151605,"5th Cross Rd, BF Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064",Tamil Nadu,Coimbatore,
Celebrino Unisex Salon (Jandiala),919825428872,"802, PINNACLE TOWER, Block A, Industrial Area, Sector 62",Punjab,Jandiala,
Femelly Salon (Kerala),919824564080,Hulimavu,KERALA,Kerala,
Mbs Unisex Salon (Jodhpur),919823618532,Khargone,Rajasthan,Jodhpur,
Enrich Treatment (Rudrapur),919822408740,Gokhale marg,Uttarakhand,Rudrapur,
Delina Beauty Parlour (Amritsar),919822238687,Kenidv avenue  Amritsar,Punjab,Amritsar,
Elora Salon (Bakhtawarpur),919822177266,Azad Nagar,Delhi,Bakhtawarpur,
Chapter 6 (Lucknow),919821510005,Pakurtala more,Uttar Pradesh,Lucknow,
Khushi Enterprises (Noida),919820608084,Eita 2 Gr Noida,Uttar Pradesh,Noida,
Hair Lab Studio (Ludhiana),919820575389,Vijaynagar,Punjab,Ludhiana,
Ultimate Beauty Salon (Jamshedpur),919818681123,Pla mkt,Jharkhand,Jamshedpur,
Best Look Saloon (Noida),919818535410,Shaynagar,Uttar Pradesh,Noida,
Amol Salon (Jodhpur),919818494639,"Sector 137 Paras tiera commercial 2 shop no.21 grond, Noida, Uttar Pradesh 201305",Rajasthan,Jodhpur,
Hd 76 Salon & Academy (Lucknow),919818306337,99719 53687,Uttar Pradesh,Lucknow,
Garima Mohnani Unisex Salon (Achhnera),919818279506,"Shop No 27, 1st Floor, Sab Mall, Sec 27, Noida",Uttar Pradesh,Achhnera,
Ballayaz Unisex Salon (Amritsar),919818216424,rudrapur,Punjab,Amritsar,
Maintain Beauty Point (Achhnera),919818122858,"New Ram Nagar, Haridwar (Uttarakhand)",Uttar Pradesh,Achhnera,
Jawed Habib Hair & Beauty (Silchar),919818075777,Near ambedkar park taramandal Gorakhpur,Assam,Silchar,
Maheshwari Cosmetic (Shiliguri),919818016381,Padmananagar,West Bengal,Shiliguri,
Look 'S Unisex Salon (Ambikapur),919817058010,"Lotus Panache, Sector 110",Chhattisgarh,Ambikapur,
Hair Port Salon (Kota),919815961472,Baipur road sikandra,Rajasthan,Kota,
Forever Salon (Jodhpur),919815934100,Morabadi,Rajasthan,Jodhpur,
Laveena Beauty Parlour (Nagpur),919815833427,Umarkot,Maharashtra,Nagpur,
Distributor Visit (Bagha Purana),919815798076,"1st floor, 49 C, Purna Das Rd, Golpark, Hindustan Park, Gariahat, Kolkata, West Bengal 700029",Punjab,Bagha Purana,
Sanjivani Beauty Parlour (Muzaffarnagar),919815726367,Firozepur city,Uttar Pradesh,Muzaffarnagar,
Guys And Dolls Unisex Salon (Punjab),919815512332,Kot ise khan near school,Punjab,Punjab,
Magic Touch (Amritsar),919815131716,Greens city koradi road,Punjab,Amritsar,
Heritage (Jodhpur),919814189341,Shikar garh,Rajasthan,Jodhpur,
Alex Salon (Achhnera),919813468670,"Mani bazar, kotkapura",Uttar Pradesh,Achhnera,
Mulberry Salon (Lucknow),919813123086,G 6 soUTh extn tower part 2,Uttar Pradesh,Lucknow,
Mirror Makeover (Jodhpur),919812677535,Palam metro station,Rajasthan,Jodhpur,
Herbal Unisex Salon (Other),919811988934,Shikargarh,Andaman and Nicobar Islands,Other,
Hi Look Hairlines (MeerUT),919811946041,"First Floor, COMMERCIAL BLOCK, Shop No. 14 & 15, Sector 78, Noida, Uttar Pradesh 201304",Uttar Pradesh,MeerUT,
Kanchan Make Uttar Pradesh (Lucknow),919811272124,Sec 10,Uttar Pradesh,Lucknow,
Kaimzzz Salon Moga (Bangalore),919810913094,Zamrood pur,Karnataka,Bangalore,
Silver Leaf ( Q3 Salon) (Kannapuram),919810894249,"Cantt , Firozpur",Kerala,Kannapuram,
Glitter Beauty Studio (Kanpur),919810703463,Sec 23,Uttar Pradesh,Kanpur,
Mayra Salon (Kannur),919810254922,Rajatalab,Kerala,Kannur,
Luxe Unisex Salon N Makeuttar Pradesh Studio (Panchkula),919810193809,Obrai road,Haryana,Panchkula,
Lux Unisex (Bangalore),919810193808,"Inside Club 26, Sector 26, Noida",Karnataka,Bangalore,
Karishma Mackover (Zerakpur),919810009485,Pawan nagar gali no 8,Punjab,Zerakpur,
New Look Beauty Zone (Amritsar),919809268065,Vasind,Punjab,Amritsar,
Mirror Salon (Jodhpur),919809090890,Bahraich,Rajasthan,Jodhpur,
Hind Beauty Parlour (Bangalore),919806285434,Rohaniya,Karnataka,Bangalore,
The Princess Beauty Parlour (Kodiyeri),919803362415,"1st floor, Sco 138, Market, Sector 21C",Kerala,Kodiyeri,
Mirror The Salon (Jodhpur),919803319637,Vasai West,Rajasthan,Jodhpur,
Lucknow Looks (MeerUT),919803210209,Bouri chonk near petrol puMadhya Pradesh,Uttar Pradesh,MeerUT,
Neetu Sharma (Achhnera),919803174182,Borivali West,Uttar Pradesh,Achhnera,
Aysh Beauty Salon (Lucknow),919800952704,"Ground floor Moti Mahal, Azadnagar, Opp. HP Petrol puMadhya Pradesh, Mango",Uttar Pradesh,Lucknow,
Mehak Salon (Lucknow),919800584088,"Mahavir Nagar Char Rasta,Himmatnagar (Gujarat)",Uttar Pradesh,Lucknow,
Get Grougious Bridal Salon (Mumbai),919800580480,"Junction road,",Maharashtra,Mumbai,
Beauty City (Modinagar),919799999186,Harha road.jagdalpur,Uttar Pradesh,Modinagar,
Beauty Zone (Amritsar),919797446454,MV Ph 1,Punjab,Amritsar,
Naincy Beauty Saloon (Chandigarh),919796850838,Karmik Nagar Dhanbad,Punjab,Chandigarh,
Moni Ladies Beauty Parlour (Noida),919796687373,"Shree Ji CoMadhya Pradeshlex 1 Floor , Madical College, Sagar",Uttar Pradesh,Noida,
Art N Makeuttar Pradesh (Raipur),919796487237,"Green park main market, Delhi SoUTh",Chhattisgarh,Raipur,
Sun Grace Salon (Kolkata),919796296925,Mahagun Sastri Nagar Ghaziabad,West Bengal,Kolkata,
Chanks (Chandigarh),919794413106,Bouri chonk,UT,Chandigarh,
My Salon (MeerUT),919790393321,Neendakara,Uttar Pradesh,MeerUT,
Harrys Salon (New Delhi),919789924977,ShivaraMadhya Pradeshet,Delhi,New Delhi,
Beauty Castle Salon (Mohali),919789897890,50 ft road nr old morbi road,Punjab,Mohali,
Ritu Salon (Kot Ise Khan) (Noida),919789332052,Sundaranagar,Uttar Pradesh,Noida,
Lovely Beauty Parlour (Delhi),919786966684,RatnDa,Delhi,Delhi,
Magic Touch 47 Salon Zira (Varanasi),919785026006,Delhi road,Uttar Pradesh,Varanasi,
Bellaza Unisex Salon (Modinagar),919782476909,"Humble tower  , One way jn",Uttar Pradesh,Modinagar,
Fiza Beauty Parlour Moga 2 (Achhnera),919782474046,Tangu road near kali mata mandir,Uttar Pradesh,Achhnera,
Bella N Guy Unisex Salon (Amritsar),919782376909,Sindri Dhanbad,Punjab,Amritsar,
New Look Salon (Other),919782290055,vivekanand nagar,Andaman and Nicobar Islands,Other,
Enliven Salon (New Delhi),919781423245,"Anil baghi road, firozepur",Delhi,New Delhi,
Hd 76 Salon & Acedemy (Nagpur),919781097010,TUttar Pradeshudana,Maharashtra,Nagpur,
Manish Parlour (Chandigarh),919780852025,Venjaramoodu,Punjab,Chandigarh,
Kritgya (Ferozepore),919780759585,Pahdiya Aashapur,Punjab,Ferozepore,
Aman Makeuttar Pradesh Artist (Noida),919780678713,Mangalam tower Golghar,Uttar Pradesh,Noida,
Bablas (Kanpur),919780656356,"LOTUS BOULEVARD, Lotus Boulevard, Sector 100, Noida, Uttar Pradesh 201301",Uttar Pradesh,Kanpur,
Dazzle (MeerUT),919780170522,Sadar bazar,Uttar Pradesh,MeerUT,
Veera Unisex Salon (Bhilwara),919780078680,Vontikoppal,Rajasthan,Bhilwara,
Beautica Salon (Payyannur),919780069847,City centre,Kerala,Payyannur,
Beauty Art Salon (Durg),919780063053,"Shop No - 45, Nehru Nagar Market, SoUTh Delhi",Chhattisgarh,Durg,
Dipali Beauty Parlour (AchaMadhya Pradeshet),919779923140,"GD-347, near Mother Teresa Island, Sector 3, Bidhannagar, Kolkata, West Bengal 700106",Andhra Pradesh,AchaMadhya Pradeshet,
Makeover Family Salon (Nagpur),919773378530,Green park,Maharashtra,Nagpur,
Faces And Dairy Salon (Faridabad),919773278656,Sharda chowk,Haryana,Faridabad,
Lemon Grass (Lucknow),919772277543,"Amarpali Princely Estate Market, Shop No. 48 & 49 Near Amrapali Silicon City gate no. 2& 3, Sector 76, Noida, Uttar Pradesh 201301",Uttar Pradesh,Lucknow,
Dps Beauty Parlour (Mysore),919770187849,Ambedkar chouraha Gonda,Karnataka,Mysore,
Glamboyant (Noida),919767238477,New Mandi,Uttar Pradesh,Noida,
Bhuvanas (Kannapuram),919765973700,BUTibori,Kerala,Kannapuram,
Lush Look Salon (Abbigeri),919765112509,"E-1, Block E, Sector 26, Noida, Uttar Pradesh 201301",Karnataka,Abbigeri,
Khushi Beauty Salons (Achaljamu),919761705549,"Shop No 4, Divyansh Mart, Gaur City 2, Greater Noida West",Jharkhand,Achaljamu,
Be Blonde Unisex Salon (Varanasi),919760946144,Near lal devi mandir,Uttar Pradesh,Varanasi,
Jiyas Parlour (Abbigeri),919760873096,"Pushpanjali coMadhya Pradeshlex , sastri puram road sikandra agra",Karnataka,Abbigeri,
Glanz Studio (Nagpur),919760644804,Shop 12 pushp punit villa marUTi estate crossing,Maharashtra,Nagpur,
Jasn Beauty Salon (Moradabad),919758637549,"Gate No 4, 76 CoMadhya Pradeshlex, Shop No 10 , Street, near by Amarpali Silicon City, Sector 76, Noida, Uttar Pradesh 201301",Uttar Pradesh,Moradabad,
Dolphin Salon (Lucknow),919758250316,"Axis mall, CF-9, near Novotel, CF Block(Newtown), Action Area 1C, Newtown, New Town, West Bengal 700156",Uttar Pradesh,Lucknow,
Beauty Poetry Salon (Mysore),919754189541,DharaMadhya Pradesheth,Karnataka,Mysore,
Huda' S Bridal Makeuttar Pradesh Studio (Lucknow),919749319643,"CJ 26, Ground, CJ Block, Sector II, Bidhannagar, Kolkata, West Bengal 700091",Uttar Pradesh,Lucknow,
Gagan Beauty Parlour (Bangalore),919747852668,Chindwara,Karnataka,Bangalore,
S Studio Salon (Moradabad),919746089277,Mahal,Uttar Pradesh,Moradabad,
The Hair Stores Unisex Salon (Noida),919745704433,Sec 20,Uttar Pradesh,Noida,
Look Beauty Parlour (Agar),919744129545,Lanka,Madhya Pradesh,Agar,
Eminence Salon (Amritsar),919741495456,Bacchav,Punjab,Amritsar,
Eve'S Parlour (Amritsar),919741200982,Argora,Punjab,Amritsar,
Black Scissor Unisex Salon (Nagpur),919740976750,"Near mittal hospital, 
 moga",Maharashtra,Nagpur,
H2B Salon (Gurdaspur),919740918487,Laki bazar near bus stand,Punjab,Gurdaspur,
Mak Unisex Salon (Amritsar),919740779423,New janta nagar gill marg,Punjab,Amritsar,
Evol Studio (Panchkula),919740728842,MI russell cort gomtinagar extension,Haryana,Panchkula,
Lavender My Choice (Chandigarh),919740144143,"4, Baghajatin Station Rd, SPD Block, Ajanta Park, Baghajatin Colony, Kolkata, West Bengal 700086",Punjab,Chandigarh,
Glam Studio (Dhanbad),919739602809,Deoria by pass road taramandal Gorakhpur,Jharkhand,Dhanbad,
Glouries Saloon (Firozepur),919738888855,Opp aman karana store,Punjab,Firozepur,
Anmol Saloon (Chandigarh),919734308277,"Victory Cross Rd, Sector 143, Noida, Uttar Pradesh 201305",Punjab,Chandigarh,
Danish Makeover (Raipur),919730758732,Near Malumimim salon majitha road,Chhattisgarh,Raipur,
Lady'S Zone (Nagpur),919730374675,Hootagalli,Maharashtra,Nagpur,
Divya Singh Studio (Jodhpur),919730154214,Airport,Rajasthan,Jodhpur,
Pari Parlour (Mansurpur),919730152103,Green field,Uttar Pradesh,Mansurpur,
Brown Girls Salon (Jodhpur),919727074402,Opp petrol puMadhya Pradesh Gurbakash nagar,Rajasthan,Jodhpur,
Js Salon (Noida),919724242554,Aseya  road,Uttar Pradesh,Noida,
Ananya Beauty Parlour (Jodhpur),919723458356,"First floor, shop, Paras One33, no. 7, sector 133, Noida, Shahpur Govardhanpur Bangar, Uttar Pradesh 201304",Rajasthan,Jodhpur,
Wings Salon (Meenangadi),919718137878,"Mane bazar, mudki",Kerala,Meenangadi,
Dazzle Unisex (Modinagar),919717684595,Saoner Bus stand,Uttar Pradesh,Modinagar,
Aksh Maan Salon Midki (Bakhtawarpur),919717683898,Bhavnagar road,Delhi,Bakhtawarpur,
Gleam Uttar Pradesh Makeuttar Pradesh Studio (Coimbatore),919717671574,Shashtri nagar,Tamil Nadu,Coimbatore,
Gloss & Grace Luxury Salon (Moradabad),919717671572,Raiganj road ghantaghar gorakhpur,Uttar Pradesh,Moradabad,
Dream Diva Beauty Salon (Rajkot),919717668275,"GROUND FLOOR SHOP NO.13, ANSAL PAZA MALL, Pari Chowk, Amit Nagar, Sadarpur, Greater Noida, Uttar Pradesh 201310",Gujrat,Rajkot,
Aaina Beauty Parlour (Kotkapura),919717427002,Sevoke more,Punjab,Kotkapura,
Crown & Comb Salon (MeerUT),919716427806,Tatisilve,Uttar Pradesh,MeerUT,
Diamond Beauty Salon (Jodhpur),919714454427,Milaap chowk jalandhar,Rajasthan,Jodhpur,
Glitter Beauty Salon (Kanpur),919711976666,Dalibagh,Uttar Pradesh,Kanpur,
Hair Miracle Salon (Mysore),919711970880,Birsa chowk,Karnataka,Mysore,
Classic Hair Cut Salon (Ferozepore),919711547740,Gubbala,Punjab,Ferozepore,
Absolute Star Unisex Salon (Ajas),919711107120,Dist 1 mohali,Jammu and Kashma«r,Ajas,
Sr Professional Salon (Modinagar),919711073142,Nagri,Uttar Pradesh,Modinagar,
Glamour Emadhya Pradeshorium (Amritsar),919711055292,New college vadi,Punjab,Amritsar,
Lorange Unisex Salon (Talwandi sabo),919709978909,Near pathra wali park sultanwind road,Punjab,Talwandi sabo,
Charu Patel Makeover (Ambikapur),919709918909,College para,Chhattisgarh,Ambikapur,
Kingsway Salon (Zerakpur),919709917803,Tiwariganj,Punjab,Zerakpur,
Bellissima Professional Salon (Jodhpur),919706941431,Crystal chonk near petrol puMadhya Pradesh,Rajasthan,Jodhpur,
Bhawanas Makeover (Kot Kapura),919702324090,Jeevan jyoti road amar vihar cake house paani ke tanki ke pass honey coMadhya Pradeshlex,Punjab,Kot Kapura,
Arohi Beauty Parlour (Other),919699513228,"Amar Colony, SoUTh Delhi, Delhi",Punjab,Other,
Beauty Hub Salon (Achhnera),919697299054,Anand Vihar vihar East Delhi,Uttar Pradesh,Achhnera,
J0Shh Beauty World (Bakhtawarpur),919696948794,Chibla mau,Delhi,Bakhtawarpur,
Anokhi Beauty Salon (Hisar),919695266449,Harmu,Haryana,Hisar,
Hide & Seek Unisex Salon (Mawana),919695060837,Khaparkheda,Uttar Pradesh,Mawana,
Fusion Unisex Saloon (Zerakpur),91969060250q,"B-105, 4, Amar Colony, Lajpat Nagar, New Delhi, Delhi 110024",Punjab,Zerakpur,
Keera Family Salon (Raipur),919690065749,Sec 37 c,Chhattisgarh,Raipur,
Dharmas Unisex Salon (Taran tarn),919686972799,"1st Floor, HUDA Market, Shop No 26, 27 & 28, Sector 21D",Punjab,Taran tarn,
Jass Makeover (Amritsar),919686865673,"Shop no. 2, Pillar No. 51, Dadri Main Rd, opposite Kesar Garden, Natthu Colony, Apartment, Sector 49, Noida, Uttar Pradesh 201304",Punjab,Amritsar,
