Distributor ID,Firm Name,Discount Category,Point of Sales,Type,DB Name,Territory,State,Email ID,Contact Person,Contact Number,Address,Sales Person,
B0D0S00011,OM TRADERS,E1,Glow Star,Distributor,OM TRADERS (Ghaziabad),Ghaziabad,Delhi NCR,omtraders.gzb.1@gmail.com,Sarvesh Kumar,9560517996,"Flat No-12, 2nd Floor, 3-B-9, Nehru Nagar, Ghaziabad - UP  201001",Mohit Thankur,North
B0D0S00012,S. V Enterprises,E1,Glow Star,Distributor,S. V Enterprises  (East Delhi),East Delhi,Delhi NCR,s.v.enterprisenikita89@gmail.com,Nikita,9310373788,C-Block Gali No-5 Bhajanpura,Megha Goswami,North
B0D0S00013,SANIDHYA AND CO,E1,Glow Star,Distributor,SANIDHYA AND CO (Noida),Noida,Delhi NCR,,Ankit Sir / Pankaj,8447653459 / 9999163426,"Shop No-4 Baburam Complex Indra Market
 Noida G.B Nagar 201301",Pradeep Sharma,North
B0D0S00014,Shree Ganesh Enterprises,E1,Radhika Sales,Distributor,Shree Ganesh Enterprises (West Delhi),West Delhi,Delhi NCR,MARWAHVARJESH@GMAIL.COM,varjesh marwaha,9958536983,"17C, THIRD FLOOR, RED MIG FLATS, RAJOURI GARDEN, TAGORE GARDEN METRO STATION, Rajouri Garden, New Delhi   - 110027",Monica,North
B0D0S00015,The New Cosmetics Store,E1,Shree Krishna Enterprises,Distributor,The New Cosmetics Store (Junagarh),Junagarh,Gujarat,thenewcosmeticstore@gmail.com,Ravindra H jetpara,8866702064,"Sardarpara Street No. 1, Nr. Shanket Apartment, Joshipura, Junagarh - 362001",,MP + Guj
B0D0S00016,UV Cosmetic World,E1,Shree Krishna Enterprises,Distributor,UV Cosmetic World (Rajkot),Rajkot,Gujarat,uvcosmeticsworld@gmail.com,Sanjay Dafda,9737366612,"Opp Hinglaj Jewellers, Vijay Plot 10, Gondal Road, Rajkot 360002",,MP + Guj
B0D0S00017,Jatin Gupta,E1,Glow Star,Distributor,Jatin Gupta (Karnal),Karnal,Haryana,,Jatin Gupta,7015521377,"H.NO. - 834/14, Jodia Kuan, Jundla Gate, Shish Mehal, Karnal, (Rural) (Part-1), Karnal, Haryana - 132001",Paras Gupta,North
B0D0S00018,RS Beauty World,E1,Glow Star,Distributor,RS Beauty World (Rohtak),Rohtak,Haryana,rohitdiljeet1987@gmail.com,Rohit,9812798946,"869/6, GANERI WALI GALI, QUILLA ROAD, ROHTAK-124001",Paras Gupta,North
B0D0S00019,Sukhija Store,E1,Glow Star,Distributor,Sukhija Store (Sonipat),Sonipat,Haryana,sukhijastore1721@gmail.com,,9817805260,"SHOP NO. 675/8, ., SARANG ROAD, SONEPAT, Sonipat, Haryana, 131001",Paras Gupta,North
B0D0S00020,Lucky Cosmetics,E1,Mohinder Pal & Sons,Distributor,Lucky Cosmetics (Bathinda),Bathinda,Punjab,vshgupta22@gmail.com,Vishal kapila,9780920910,"Street no 1, Power House Road, Bathinda - 151001",Chirag Sharma,North
B0D0S00021,Devnavi Enterprise,E1,Biolume,Distributor,Devnavi Enterprise (Dhanbad),Dhanbad,Jharkhand,manin72@gmail.com,Neetu,7004172280,"HOLDING NO 0270000560000A1, MADHURI BHAWAN, Bhistipara Road, NEAR KALI MANDIR, Vistipara, Dhanbad, Jharkhand, 826001",Mritunjay Pandey,East 2
B0D0S00022,Maa trader,E1,Biolume,Distributor,Maa trader  (Ranchi),Ranchi,Jharkhand,amnolgrover2@gmail.com,Anmol grover,8877688003,"Near Ojha Market, Vikash Nagar, Hehal, Ranchi, Jharkhand - 834005",Soma,East 2
B0D0S00023,Mahaveer Agency,E1,Biolume,Distributor,Mahaveer Agency (Jamshedpur),Jamshedpur,Jharkhand,santoshsahu860@gmail.com,Santosh,9973680969,"H No 23/52, Kumhar Para, Sakchi , Jamshedpur, Sakchi Bistupur, East Singhbhum - 831001",Tannu Jha,East 2
B0D0S00024,Rishika enterprises,E1,Kauneus Marketing LLP,Distributor,Rishika enterprises  (Mysure),Mysure,Karnataka,bertic58@gmail.com,,8904774993,"#104""1'st floor, Srirampura, Mysure:-570023",Archana,South 1
B0D0S00025,TANMAN Inc,E1,Kauneus Marketing LLP,Distributor,TANMAN Inc (Bangalore ),Bangalore,Karnataka,tanmaninc.in@gmail.com,Basawaraj,9900400050,"2nd Floor, No.22/1, 1st Main, New Bel Road, RMV II Stage, Jaladarshini Layout, Bengaluru, Bengaluru Urban, Karnataka, 560094",M. Shanawaz Khan,South 1
B0D0S00026,BHOOMIKA AGENCIES,E1,Hareesh Enterprses,Distributor,BHOOMIKA AGENCIES  (Alappuzha),Alappuzha,Kerala,bhoomikaagencie@gmail.com,Rekha,8129092292,"55, Parayil Road, Thirumala Devaswom High School TRVR, Ward 15, Kuthiathode, Alappuzha, Kerala, 688540",Sreekumar PS,South 2
B0D0S00027,Daksha Agencies,E1,Hareesh Enterprses,Distributor,Daksha Agencies (Kannur),Kannur,Kerala,daksha.cosmetics47@gmail.com,PRASU. G. U,7306443122,"WAR No. PP 17/ 703, FILA COMPLEX, Hajee Road, Bigtown, Pappinisseri, Kannur, Kerala, 670561",Sreekumar PS,South 2
B0D0S00028,Elements,E1,Hareesh Enterprses,Distributor,Elements (Mavelikara),Mavelikara,Kerala,elementspro.in@gmail.com,Aarya,8281557378,"P.K.V. Building, A R Junction, Mavelikara , Alapuzha Dist, Pin code - 690101",Sreekumar PS,South 2
B0D0S00029,Naas Cosmetics,E1,Hareesh Enterprses,Distributor,Naas Cosmetics (Calicut),Calicut,Kerala,naascosmetic@gmail.com,Nazeer,7678001500,"Vellariyii Garden, Palayam, Calicut - 673002",Sreekumar PS,South 2
B0D0S00030,Nizu Beauty solution,E1,Hareesh Enterprses,Distributor,Nizu Beauty solution  (Trivandrum ),Trivandrum,Kerala,nizubeautysolution@gmail.com,Nizam. S,9447331413,"First Floor, TC 81/ 1625, Aishwarya Towers, SS Kovil Road, Thampanoor, Thiruvananthapuram, Kerala, 695001",Sreekumar PS,South 2
B0D0S00031,Banke Bihari Enterprises,E1,Shree Krishna Enterprises,Distributor,Banke Bihari Enterprises (Gwalior),Gwalior,Madhya Pradesh,,,9074164765,,,MP + Guj
B0D0S00032,Devangi Agency,E1,Shree Krishna Enterprises,Distributor,Devangi Agency (Jabalpur),Jabalpur,Madhya Pradesh,,,,,,MP + Guj
B0D0S00033,Habiba Enterprises,E1,Shree Krishna Enterprises,Distributor,Habiba Enterprises (Bhopal),Bhopal,Madhya Pradesh,habibaenterprises5253@gmail.com,Mohd Ali,7415345205,"01, Noor Maha Road, Near Valmiki Mandir, Chowki Imambara, Bhopal",,MP + Guj
B0D0S00034,Shree Krishna Enterprises,E1,Glow Star,Super Stockiest,Shree Krishna Enterprises (Indore),Indore,Madhya Pradesh,ske900956@gmail.com,Jaydeep,9009595956,558 Scheme 51 opp ideal internatinal school sangam nagar indore 452006,,MP + Guj
B0D0S00035,A.S TRADE LIENS,E1,Glow Star,Distributor,A.S TRADE LIENS (Nagpur),Nagpur,Maharashtra,Astradelines@gmail.com,Shahid ali,9860883953,"Plot no 85, shivgiri layout Om Nagar Shambhu Nagar Nara Road Nagpur. 440030",Bholaram,ROM
B0D0S00036,Allgen Trading International,E1,Kauneus Marketing LLP,Distributor,"Allgen Trading International (Jogeshwari,Mumbai)","Jogeshwari,Mumbai",Maharashtra,algn@allgeninternational.com,Benny & Priyanka,8657927411,"Chacha nagar , Jogeshwari,Mumbai (W).400060",Vacant,Mumbai
B0D0S00037,Beauty Zone Cosmetics Shopee,E1,Kauneus Marketing LLP,Distributor,Beauty Zone Cosmetics Shopee  (Nashik ),Nashik,Maharashtra,beautyzone212@gmail.com,Pranjal,9860308092,"10, Sarveshwar Society, Behind Vision Hospital, College Road, Nashik, 422005",Harshal,ROM
B0D0S00038,Mudra Enterprises,E1,Glow Star,Distributor,Mudra Enterprises  (Pune),Pune,Maharashtra,Abhijit.lodha29@gmail.com,Abhijit Lodha,9890081290,"S No 64/1A/1, Ground Floor, Krishan Kun, Behind Salve Garden, Next to Santi Nagar Society, Kondhwa, 411048",Sarika / Archana,ROM
B0D0S00039,N S ENTERPRISE,E1,Kauneus Marketing LLP,Distributor,N S ENTERPRISE (Amrawati),Amrawati,Maharashtra,holawala87@gmail.com,KUMAIL,7021037231,B 15 SATHIDHAM COMPLEX NEAR HOTEL HINDUSTAN INTERNATIONAL CHITRA TALKIES AMRAVATI,Bholaram,ROM
B0D0S00040,Nature's Garden Cosmetics Group,E1,Kauneus Marketing LLP,Distributor,Nature's Garden Cosmetics Group (Vasai West),Vasai West,Maharashtra,"vishalsarwaate@gmail.com , naturesgardencosmeticsgroup6@gmail.com",Vishal Sarwaate,9323217250 / 7977235725,"24, Ambika Complex, Navghar Vasai East, Palghar, Maharashtra 401208",,Mumbai
B0D0S00041,Prashant Traders,E1,Kauneus Marketing LLP,Distributor,Prashant Traders (Thane),Thane,Maharashtra,Prashantshirsagar.2015@gmail.com,PRASHANT,8888215738,"SHOP NO.10, TELAVANE TOWER, PATIL PADA, BADLAPUR EAST, Thane, Maharashtra, 421503",Vacant,Mumbai
B0D0S00042,Shah Enterprises,E1,Kauneus Marketing LLP,Distributor,Shah Enterprises (Central Mumbai),Central Mumbai,Maharashtra,shahent2023@gmail.com,Deepak R Shah,9322660434,"1st Floor, Shop No. 23 1/1. GM Road, Near Ravi Automobiles Petrol Pump, Amarmahal, Chembur - 400089",Sujata Pandit,Mumbai
B0D0S00043,Shreeleela Enterprises,E1,Kauneus Marketing LLP,Distributor,Shreeleela Enterprises (Navi Mumbai),Navi Mumbai,Maharashtra,shreeleelaenterprisessales@gmail.com,Milind,9136942098,"SS-3, Room No. 926, sector-6, Near Sai Baba Mandir, Koperkhairane, Navi Mumbai - 400709",Shobha,Mumbai
B0D0S00044,CU & Sons,E1,Rakta Traders,Distributor,CU & Sons (Shillong),Shillong,Meghalaya,cuandsons77@gmail.com,Purushottam Sharma,9862603843,"BARA BAZAR, GS Road, Shillong, Meghalaya - 793002",Ajay Kumar,East 2
B0D0S00045,DK Traders,E1,Beauty Plus,Distributor,DK Traders (Cuttack),Cuttack,Odisha,dshreechandan@gmail.com,Chandan,7978122107,"PLOT NO-220, GROUND FLOOR, KANTILO KHATA NO-386/1-D1, Cuttack Paradip Road, Patnaik Tank CRRI, Bidyadharpur, Cuttack, Odisha, 753004",BB Lalatendu,East 1
B0D0S00046,Shree Traders,E1,Beauty Plus,Distributor,Shree Traders (Rourkela),Rourkela,Odisha,laxman.oneway@gmail.com,Lakshman,8249555686,"Sector-18, daily market, shop no-107, ROURKELA-769003,  Sundergarh, ODISHA.",BB Lalatendu,East 1
B0D0S00047,Sonu Agencies,E1,Beauty Plus,Distributor,Sonu Agencies (Rayagada),Rayagada,Odisha,sonutattooz@gmail.com,Santosh kumar Sathpathy,8270371637,"Sai Priya nagar,Rayagada,756001",BB Lalatendu,East 1
B0D0S00048,Ganapati Distributors,E1,Blend & Trend,Distributor,Ganapati Distributors (Siliguri),Siliguri,West Bengal,hr.radiantedu@gmail.com,Rahul Singh,8001165262,"Nigam Bhawan, Military Road, Shiv Mandir, Kadamtala, Dist - Darjeeling - 734001",Kamal,East 1
B0D0S00049,J.B.L. Distributor,E1,Blend & Trend,Distributor,J.B.L. Distributor (Cooch Behar),Cooch Behar,West Bengal,swarnenduray18@gmail.com,Swarnendu Ray,9609079598/7478547356,"Newtown,Chakir More, Chhat Guriahati, Near-Anath Asram, Cooch Behar-736101",Kamal,East 1
B0D0S00050,Jatinder Brothers,E1,Mohinder Pal & Sons,Distributor,Jatinder Brothers (Firozpur),Firozpur,Punjab,kjatinder089@gmail.com,Jitender,6280005993,OUT SIDE BANSI GATE ALI KE ROAD FEROZPUR CITY FEROZPUR 152002,Chirag Sharma,North
B0D0S00051,Darpita Enterprises,E1,Mohinder Pal & Sons,Distributor,Darpita Enterprises (Jalandhar),Jalandhar,Punjab,manishchawl887@gmail.com,Manish Chawla,9915840329,"28/4, FM, Near Gurudwara Singh Sabha, Model House, Jalandhar",Preeti,North
B0D0S00052,Satyam Gift & gn Store,E1,Mohinder Pal & Sons,Distributor,Satyam Gift & gn Store (Chandigarh),Chandigarh,Punjab,rajiv62747@gmail.com,Rajiv,7696011280,"627, phase7, Mohali -160055",Gaurav Sharma,North
B0D0S00053,Shree Jee Enterprises (Mohali),E1,Mohinder Pal & Sons,Distributor,Shree Jee Enterprises (Mohali) (Mohali),Mohali,Punjab,satindersingla.09@gmail.com,Satinder Singla,7696209000,Shop 2.3 near verka booth gulmohar complex sunny enclave sector 125 mohali,Gaurav Sharma,North
B0D0S00054,Karishna Cosmetics,E1,Mohinder Pal & Sons,Distributor,Karishna Cosmetics (Barnala),Barnala,Punjab,sunnygarg312@gmail.com,Ankush garg,9872287087,"Nr, Aggarwal Dharmshala, Barnala - 148101",,North
B0D0S00055,KKK Associates,E1,Mohinder Pal & Sons,Distributor,KKK Associates (Zirakpur),Zirakpur,Punjab,,,,,Gaurav Sharma,North
B0D0S00056,KDH Cosmtics,E1,Mohinder Pal & Sons,Distributor,KDH Cosmtics (Amritsar),Amritsar,Punjab,rahilmarwaha85@gmail.com,Rahil,9914898989,"shop no 89, IDH Market, Amritsar - 143006",Gourav Kumar,North
B0D0S00057,Radha Traders,E1,Mohinder Pal & Sons,Distributor,Radha Traders (Hoshiarpur),Hoshiarpur,Punjab,jatinderyadav636@yahoo.com,Jatinder Yadav,9888112690,"center Town , Hoshiarpur - 146001",Girish Sharma,North
B0D0S00058,Rajesh Enterprises,E1,Mohinder Pal & Sons,Distributor,Rajesh Enterprises (Pathankot),Pathankot,Punjab,garg4737@gmail.com,Rajesh,9876556674,"Nr. BSNL Office, Kali Mata Mandir Road, Pathankot -145001",Gourav Kumar,North
B0D0S00059,Divine Enterprises,E1,Mohinder Pal & Sons,Distributor,Divine Enterprises (Himachal),Himachal,Himachal,kishorkumar67380@gmail.com,Kishore,9882424244,"village & P.O Bhattu, The. Baijnath, Dist.Kangra - 176125",Sandeep Kaur,North
B0D0S00060,Gauri Trading Co,E1,Mohinder Pal & Sons,Distributor,Gauri Trading Co (Dhuri),Dhuri,Punjab,deepakgarg3022@gmail.com,Deepak,7009801355,"New Sugar Mill Market,M.K Road, Dhuri - 148024",Sandeep Kaur,North
B0D0S00061,Rawal Enterprises,E1,RS Agency,Distributor,Rawal Enterprises (Jaipur),Jaipur,Rajasthan,rawalenterprises01@gmail.com,,8278649320 / 6378360257,"416-B, Basement, Adarsh Nagar, Opp. S.V. School Gate, Jaipur - 302004",Laxman,Rajasthan
B0D0S00062,RS Agency,E1,Biolume,Super Stockiest,RS Agency (Jaipur),Jaipur,Rajasthan,onestopshopjpr@gmail.com,Pradeep,9829017638,"Plot No. F 811-812, Road No. 14, N-1 Phase 6, Vishwakarma Industrial area, Jaipur 302013",Abhay,Rajasthan
B0D0S00063,Gentoo Cosmetics,E1,Hareesh Enterprses,Distributor,Gentoo Cosmetics (Tiruppur),Tiruppur,Tamilnadu,gentoocosmetics@gmail.com,Adilakshmi Shivakumar,9894609745 / 9003707771,"668 1/669A, Kamraj Nagar, Tiruppur",Sherwin Tennyson,South 2
B0D0S00064,Hareesh enterprises,E1,Hill Valley,Super Stockiest,Hareesh enterprises (Chennai),Chennai,Tamilnadu,hareeshenterprises1707@gmail.com,K.Srinivasan,9444368371,"1st FLOOR, 46/2, Nayakkamar Street, Parking Area, West Mambalam, Chennai, Chennai, Tamil Nadu, 600033",M. Dinesh Sharma,South 2
B0D0S00065,K.S.Agencies,E1,Hareesh Enterprses,Distributor,K.S.Agencies (Chennai),Chennai,Tamilnadu,ksagencies14@gmail.com,Niazudeen,9444454461,"No 61 A/ 42 Karunanidhi street, Nehru Nagar,  West Velachery  Chennai - 600042",M. Dinesh Sharma,South 2
B0D0S00066,Kalp Agency,E1,Hareesh Enterprses,Distributor,Kalp Agency (Salem),Salem,Tamilnadu,kalpag2015@gmail.com,Bharath,9943706000,"5/2, Veerapandiar Nagar, Salem, Salem, Tamil Nadu, 636004",Sherwin Tennyson,South 2
B0D0S00067,Kauneus Marketing LLP,E1,Glow Star,CNF,Kauneus Marketing LLP (Chennai),Chennai,Tamilnadu,shaju@kauneus.in,Mr.Shaju,7418793099,"No-102,L Block, 19th Street,Anna Nagar East, Chennai -600102",Amarnath R,South 2
B0D0S00068,Women's Spot,E1,Hareesh Enterprses,Distributor,Women's Spot (Coimbatore),Coimbatore,Tamilnadu,womensspot123@gmail.com,Abinaya,9025616847,"First Floor, 6/2, K.R.G. Nagar, 7th Street, Behind BSNL Tower, Ganapathy, Coimbatore - 641006",Sherwin Tennyson,South 2
B0D0S00069,TM Enterprises,E1,Kauneus Marketing LLP,Distributor,TM Enterprises  (Secunderabad),Secunderabad,Telangana,info@tmenterprises.in,Omar,9247690694,"C/O, opp. Lane of Royal Collections, North Lalaguda, Malkajgiri, Hyderabad, Secunderabad, Telangana 500017",Syed Jani,South 1
B0D0S00070,Yash Enterprise,E1,Kauneus Marketing LLP,Distributor,Yash Enterprise  (Hyderabad),Hyderabad,Telangana,yashenterprises_03@yahoo.com,Mr. Ashok Gupta,9246546242,"H. No.1-18337/A/1,Indian Airlines Colony,Pattigudda Road, Begumpet, Hyderabad, Telangana,500003",Navin Kumar Chatla,South 1
B0D0S00071,Beauty Passion,E1,Biolume,Distributor,Beauty Passion (Basti),Basti,UP East,,Gopal,7398734444,"BEAUTI PASSION, NEAR SBI COURT AREA, GANDHI NAGAR, RAMESHWARPURI, Basti, Uttar Pradesh, 272001",Arunesh,North
B0D0S00072,Soni Cosmetics,E1,Glow Star,Distributor,Soni Cosmetics (Balrampur),Balrampur,UP East,,,8948747897,"SHYAM VIHAR COLONY, Phalwara Bahraich Balrampur Road, Balrampur Uttar Pradesh, 271201",Arunesh,North
B0D0S00073,Narayan Enterprises,E1,Glow Star,Distributor,Narayan Enterprises  (Gorakhpur/Deoria/Basti),Gorakhpur/Deoria/Basti,UP East,narayanenterprises169@gmail.com,Mr. Suraj Kumar,98077 60760,EWS-176 Rapti Nagar Phase -1 Arogya mandir Gorakhpur Uttar Pradesh pin code 273003,Arunesh,North
B0D0S00074,ALI TRADING CO,E1,Glow Star,Distributor,ALI TRADING CO (Muzaffernagar),Muzaffernagar,UP West,Alinaushad1982.66@gmail.com,NAUSHAD AHMAD,84395 84976,"HOUSE NO 860/143, S/O SAEED AHMAD ABBASI, AMBA VIHAR, Amba Vihar, Amba Vihar, MUZAFFARNAGAR - 251001",Geeta Sharma,North
B0D0S00075,Geet Nutrition Supliment,E1,Glow Star,Distributor,Geet Nutrition Supliment (Saharanpur),Saharanpur,UP West,abhinav1.sharma1@gmail.com,Abhinav Sharma,6395219190,"6/5702, New Madho Nagar Saharanpur - 247001",Geeta Sharma,North
B0D0S00076,Seth Marketing,E1,Glow Star,Distributor,Seth Marketing (Haridwar),Haridwar,Uttrakhand,sethmarketing2008@gmail.com,Pawan Seth,9897812348 / 8439012348,"479, Krishna Nagar Kankhal, Haridwar -249404",Geeta Sharma,North
B0D0S00077,Parlour House,E1,Glow Star,Distributor,Parlour House (Raebareilly),Raebareilly,UP East,parlourhouserbl@gmail.com,Salman,9889776970,"0, kaiperganj raeebareli 229001",Karan Sharma,North
B0D0S00078,Sharda Enterprises,E1,Glow Star,Distributor,Sharda Enterprises  (Lucknow),Lucknow,UP East,Shardaenterprises018@gmail.com,Sidharth Chowdhary,8858903113,295/32 sector J Aashiyana Lucknow,Karan Sharma,North
B0D0S00079,Garg Variety Store,E1,Glow Star,Distributor,Garg Variety Store (Hapur),Hapur,UP West,Nitinakgarg@gmail.com,Arjun Kumar Garg,98374 51999,"795, Gandhi Ganj, Gole Market, Hapur - 245101",Mohit Thankur,North
B0D0S00080,Sharma Enterprises,E1,Glow Star,Distributor,Sharma Enterprises (Kanpur),Kanpur,UP West,sharmaenterprises7771@gmail.com,,6392854189,"EWS 63 D, BARRA 2, KANPUR, Kanpur Nagar, Uttar Pradesh, 208027",Karan Sharma,North
B0D0S00081,Dass Traders,E1,Punjab Sales,Distributor,Dass Traders (Bareilly),Bareilly,UP West,devangagarwaldass@gmail.com,Devang Agarwal,7500555194,Dindayal Puram  petrol pump  Ganga sheel Hospital Bareilly 243122,Lovekesh,North
B0D0S00082,Leo Pharma,E1,Glow Star,Distributor,Leo Pharma (Saharanpur),Saharanpur,UP West,leopharma2010@gmail.com,Pal,9219611213 / 9319131313,"Kishanpura, Saharanpur - 247453",Geeta Sharma,North
B0D0S00083,M/S DAYAL ENTERPRISES,E1,Glow Star,Distributor,M/S DAYAL ENTERPRISES (Agra),Agra,UP West,dayalenterprises101@gmail.com,,70609 47538,"14, Pushp Kunj, Extension Mau Road,
Khandari, Agra, Uttar Pradesh, 282002",Lovekesh,North
B0D0S00084,Aryan Agencies,E1,Punjab Sales,Distributor,Aryan Agencies  (Varanasi),Varanasi,UP East,jaiswalaryan12@gmail.com,Aryan Jaiswal,9532682550,"N15/AKH-1, SANKULDHARA VARANASI",Mamta,North
B0D0S00085,Tanvi Traders,E1,Glow Star,Distributor,Tanvi Traders (Azamgarh),Azamgarh,UP West,Deepak13699559@gmail.Com,Dipak Jaiswal,7007013441,"Balrampur PAC Morh, Sadar, Azamgarh - 276001",Mamta,North
B0D0S00086,Goinka Sales & Marketing,E1,Glow Star,Distributor,Goinka Sales & Marketing (Meerut),Meerut,UP West,ankit.goel13@yahoo.in,Ankit Goel,9927700658,,Mohit Thankur,North
B0D0S00087,Shree Jee Enterprises,E1,Punjab Sales,Distributor,Shree Jee Enterprises  (Dehradun),Dehradun,Uttrakhand,shreejee1209@gmail.com,Ashutosh Saini,7055566665,"25 Tilak Road, Near H P Kindergarten School, Dehradun - 248001",Prashant Sharma,North
B0D0S00088,Punjab Sales,E1,Glow Star,Distributor,Punjab Sales (Moradabad),Moradabad,UP West,punjabsales99@gmail.com,Harminder Singh,9045818706,,Lovekesh,North
B0D0S00089,RK Enterprises,E1,Punjab Sales,Distributor,RK Enterprises (Rudarpur),Rudarpur,Uttrakhand,Enterprisesrk47@gmail.com,Ayush,9012397102,"WARD NO 12, R 3-13, ARYA SAMAJ MANDIR GALI, RUDRAPUR, Udham Singh Nagar, Uttarakhand, 263153",Gaurav,North
B0D0S00090,Lion God Enterprise,E1,Blend & Trend,Distributor,Lion God Enterprise  (Malda),Malda,West Bengal,mukeshmld18@gmail.com,Mukesh,8346999946/7001009238,Rathbari chatai market malda 732101,Kamal,East 1
B0D0S00091,Veda Cosmetics,E1,Blend & Trend,Distributor,Veda Cosmetics (Jalpaiguri),Jalpaiguri,West Bengal,prashant.svpsl@gmail.com,Prashant Pradhan,9547690610,"GA-1, Ground Floor, BBD Complex,  Station Road, Mal Bazar, Jalpaiguri - 735221",Kamal,East 1
B0D0S00092,Xenial Distributor,E1,Blend & Trend,Distributor,Xenial Distributor (Siliguri),Siliguri,West Bengal,xenialdistributors2009@gmail.com,Ishwar,9126172851,"39/2, Nivedita Road, Opp. Radhaswami Satsang, Pradhan Nagar, Siliguri- 734003",Kamal,East 1
B0D0S00093,Kriyansh Enterprise,E1,Shah Enterprises,Distributor,Kriyansh Enterprise (Habra-Bangaon),Habra-Bangaon,West Bengal,"krishanubanerjee01@gmail.com, kriyanshenterprise2023@gmail.com",Kalyan Banerjee,9733593925,"Gandhipally, Bongaon, West Bengal, 743235",Sanjib Das,East 1
B0D0S00094,Style Line Family Salon,E1,Shah Enterprises,Distributor,Style Line Family Salon (N24pgs- 3),N24pgs- 3,West Bengal,"shawsujal64@gmail.com, lakhishaw8100@gmail.com",Lakhi Shaw,8100372312,"Madanpur Bazar, Opp. Niramay Pharmacy, Madanpur, N24pgs- 3, Kolkata - 742304",Sanjib Das,East 1
B0D0S00095,Swapna supply  Agency,E1,Shah Enterprises,Distributor,Swapna supply  Agency (N24pgs-1),N24pgs-1,West Bengal,routhpapia702@gmail.com,Papia Routh,7595922621,"K.N.C. Road, Barasat, N24pgs-1, Kolkata - 700124",Sanjib Das,East 1
B0D0S00096,Beauty Plus,E1,Beauty Plus,Distributor,Beauty Plus (Bhubhneshwar),Bhubhneshwar,Odisha,beautyplusbbsr@gmail.com,Atal Sabat,737769733 / 9007317599,"Plot no. - 26/B, B.J.B Nagar, Bhubneshwar - 751014",Sashikanta Mallick,East 1
B0D0S00097,Beauty Plus,E1,Glow Star,Super Stockiest,Beauty Plus (Bhubhneshwar),Bhubhneshwar,Odisha,beautyplusbbsr@gmail.com,Atal Sabat,737769733 / 9007317599,"Plot no. - 26/B, B.J.B Nagar, Bhubneshwar - 751014",Somnath Basu,East 1
